Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena
Nov 21 2022,10:30p,Utah Jazz,114,Los Angeles Clippers,121,Box Score,,19068,Crypto.com Arena
Nov 22 2022,7:30p,Brooklyn Nets,106,Philadelphia 76ers,115,Box Score,,20184,Wells Fargo Center
Nov 22 2022,8:00p,Sacramento Kings,113,Memphis Grizzlies,109,Box Score,,16826,FedEx Forum
Nov 22 2022,9:00p,Detroit Pistons,110,Denver Nuggets,108,Box Score,,19635,Ball Arena
Nov 22 2022,10:00p,Los Angeles Lakers,105,Phoenix Suns,115,Box Score,,17071,Footprint Center
Nov 23 2022,7:00p,Philadelphia 76ers,101,Charlotte Hornets,107,Box Score,,16910,Spectrum Center
Nov 23 2022,7:00p,Portland Trail Blazers,96,Cleveland Cavaliers,114,Box Score,,19432,Rocket Mortgage Fieldhouse
Nov 23 2022,7:00p,Minnesota Timberwolves,115,Indiana Pacers,101,Box Score,,15751,Gainbridge Fieldhouse
Nov 23 2022,7:30p,Sacramento Kings,106,Atlanta Hawks,115,Box Score,,18173,State Farm Arena
Nov 23 2022,7:30p,Dallas Mavericks,112,Boston Celtics,125,Box Score,,19156,TD Garden
Nov 23 2022,7:30p,Washington Wizards,105,Miami Heat,113,Box Score,,19600,FTX Arena
Nov 23 2022,7:30p,Brooklyn Nets,112,Toronto Raptors,98,Box Score,,19800,Scotiabank Arena
Nov 23 2022,8:00p,Chicago Bulls,118,Milwaukee Bucks,113,Box Score,,17341,Fiserv Forum
Nov 23 2022,8:00p,Denver Nuggets,131,Oklahoma City Thunder,126,Box Score,OT,13656,Paycom Center
Nov 23 2022,8:00p,New Orleans Pelicans,129,San Antonio Spurs,110,Box Score,,14947,AT&T Center
Nov 23 2022,9:00p,Detroit Pistons,125,Utah Jazz,116,Box Score,,18206,Vivint Arena
Nov 23 2022,10:00p,Los Angeles Clippers,107,Golden State Warriors,124,Box Score,,18064,Chase Center
Nov 25 2022,5:00p,Minnesota Timberwolves,108,Charlotte Hornets,110,Box Score,,17924,Spectrum Center
Nov 25 2022,7:00p,Philadelphia 76ers,107,Orlando Magic,99,Box Score,,15384,Amway Center
Nov 25 2022,7:30p,Portland Trail Blazers,132,New York Knicks,129,Box Score,OT,19812,Madison Square Garden (IV)
Nov 25 2022,8:00p,Sacramento Kings,104,Boston Celtics,122,Box Score,,19156,TD Garden
Nov 25 2022,8:00p,Atlanta Hawks,122,Houston Rockets,128,Box Score,,16669,Toyota Center
Nov 25 2022,8:00p,Brooklyn Nets,117,Indiana Pacers,128,Box Score,,15404,Gainbridge Fieldhouse
Nov 25 2022,8:00p,New Orleans Pelicans,111,Memphis Grizzlies,132,Box Score,,17794,FedEx Forum
Nov 25 2022,8:00p,Washington Wizards,107,Miami Heat,110,Box Score,,19600,FTX Arena
Nov 25 2022,8:00p,Cleveland Cavaliers,102,Milwaukee Bucks,117,Box Score,,17447,Fiserv Forum
Nov 25 2022,8:00p,Chicago Bulls,119,Oklahoma City Thunder,123,Box Score,OT,16082,Paycom Center
Nov 25 2022,8:00p,Los Angeles Lakers,105,San Antonio Spurs,94,Box Score,,18354,AT&T Center
Nov 25 2022,9:00p,Detroit Pistons,102,Phoenix Suns,108,Box Score,,17071,Footprint Center
Nov 25 2022,10:00p,Utah Jazz,118,Golden State Warriors,129,Box Score,,18064,Chase Center
Nov 25 2022,10:30p,Denver Nuggets,114,Los Angeles Clippers,104,Box Score,,16559,Crypto.com Arena
Nov 26 2022,5:00p,Dallas Mavericks,100,Toronto Raptors,105,Box Score,,19800,Scotiabank Arena
Nov 26 2022,8:00p,Oklahoma City Thunder,105,Houston Rockets,118,Box Score,,15151,Toyota Center
Nov 26 2022,8:00p,Los Angeles Lakers,143,San Antonio Spurs,138,Box Score,,18354,AT&T Center
Nov 26 2022,9:00p,Utah Jazz,112,Phoenix Suns,113,Box Score,,17071,Footprint Center
Nov 27 2022,3:00p,Portland Trail Blazers,97,Brooklyn Nets,111,Box Score,,17732,Barclays Center
Nov 27 2022,3:30p,Golden State Warriors,137,Minnesota Timberwolves,114,Box Score,,17136,Target Center
Nov 27 2022,4:00p,Indiana Pacers,100,Los Angeles Clippers,114,Box Score,,16805,Crypto.com Arena
Nov 27 2022,5:00p,Miami Heat,106,Atlanta Hawks,98,Box Score,,17268,State Farm Arena
Nov 27 2022,6:00p,Washington Wizards,121,Boston Celtics,130,Box Score,,19156,TD Garden
Nov 27 2022,6:00p,Cleveland Cavaliers,102,Detroit Pistons,94,Box Score,,18240,Little Caesars Arena
Nov 27 2022,6:00p,Memphis Grizzlies,127,New York Knicks,123,Box Score,,19524,Madison Square Garden (IV)
Nov 27 2022,6:00p,Philadelphia 76ers,133,Orlando Magic,103,Box Score,,16218,Amway Center
Nov 27 2022,8:00p,Dallas Mavericks,115,Milwaukee Bucks,124,Box Score,,17341,Fiserv Forum
Nov 28 2022,7:00p,Atlanta Hawks,101,Philadelphia 76ers,104,Box Score,,19778,Wells Fargo Center
Nov 28 2022,7:00p,Minnesota Timberwolves,127,Washington Wizards,142,Box Score,,13515,Capital One Arena
Nov 28 2022,7:30p,Charlotte Hornets,105,Boston Celtics,140,Box Score,,19156,TD Garden
Nov 28 2022,7:30p,Orlando Magic,102,Brooklyn Nets,109,Box Score,,15704,Barclays Center
Nov 28 2022,7:30p,Cleveland Cavaliers,88,Toronto Raptors,100,Box Score,,19800,Scotiabank Arena
Nov 28 2022,8:00p,Oklahoma City Thunder,101,New Orleans Pelicans,105,Box Score,,13109,Smoothie King Center
Nov 28 2022,9:00p,Houston Rockets,113,Denver Nuggets,129,Box Score,,16027,Ball Arena
Nov 28 2022,9:00p,Chicago Bulls,114,Utah Jazz,107,Box Score,,18206,Vivint Arena
Nov 28 2022,10:00p,Phoenix Suns,122,Sacramento Kings,117,Box Score,,16407,Golden 1 Center
Nov 28 2022,10:30p,Indiana Pacers,116,Los Angeles Lakers,115,Box Score,,16034,Crypto.com Arena
Nov 29 2022,7:00p,New York Knicks,140,Detroit Pistons,110,Box Score,,14864,Little Caesars Arena
Nov 29 2022,7:30p,Golden State Warriors,113,Dallas Mavericks,116,Box Score,,20277,American Airlines Center
Nov 29 2022,10:00p,Los Angeles Clippers,118,Portland Trail Blazers,112,Box Score,,17251,Moda Center
Nov 30 2022,7:00p,Philadelphia 76ers,85,Cleveland Cavaliers,113,Box Score,,19432,Rocket Mortgage Fieldhouse
Nov 30 2022,7:00p,Atlanta Hawks,125,Orlando Magic,108,Box Score,,15344,Amway Center
Nov 30 2022,7:30p,Miami Heat,121,Boston Celtics,134,Box Score,,19156,TD Garden
Nov 30 2022,7:30p,Washington Wizards,107,Brooklyn Nets,113,Box Score,,15963,Barclays Center
Nov 30 2022,7:30p,Milwaukee Bucks,109,New York Knicks,103,Box Score,,17277,Madison Square Garden (IV)
Nov 30 2022,8:00p,Memphis Grizzlies,101,Minnesota Timberwolves,109,Box Score,,15980,Target Center
Nov 30 2022,8:00p,Toronto Raptors,108,New Orleans Pelicans,126,Box Score,,14845,Smoothie King Center
Nov 30 2022,8:00p,San Antonio Spurs,111,Oklahoma City Thunder,119,Box Score,,15605,Paycom Center
Nov 30 2022,9:00p,Houston Rockets,100,Denver Nuggets,120,Box Score,,16286,Ball Arena
Nov 30 2022,9:00p,Chicago Bulls,113,Phoenix Suns,132,Box Score,,17071,Footprint Center
Nov 30 2022,9:00p,Los Angeles Clippers,112,Utah Jazz,125,Box Score,,18206,Vivint Arena
Nov 30 2022,10:00p,Indiana Pacers,114,Sacramento Kings,137,Box Score,,17611,Golden 1 Center
Nov 30 2022,10:30p,Portland Trail Blazers,109,Los Angeles Lakers,128,Box Score,,18560,Crypto.com Arena
Dec 1 2022,7:00p,Dallas Mavericks,125,Detroit Pistons,131,Box Score,OT,18106,Little Caesars Arena
Dec 2 2022,7:00p,Washington Wizards,116,Charlotte Hornets,117,Box Score,,15231,Spectrum Center
Dec 2 2022,7:30p,Denver Nuggets,109,Atlanta Hawks,117,Box Score,,16974,State Farm Arena
Dec 2 2022,7:30p,Miami Heat,120,Boston Celtics,116,Box Score,OT,19156,TD Garden
Dec 2 2022,7:30p,Toronto Raptors,105,Brooklyn Nets,114,Box Score,,17732,Barclays Center
Dec 2 2022,7:30p,Orlando Magic,96,Cleveland Cavaliers,107,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 2 2022,7:30p,Los Angeles Lakers,133,Milwaukee Bucks,129,Box Score,,17938,Fiserv Forum
Dec 2 2022,8:00p,Philadelphia 76ers,109,Memphis Grizzlies,117,Box Score,,17022,FedEx Forum
Dec 2 2022,8:00p,New Orleans Pelicans,117,San Antonio Spurs,99,Box Score,,17202,AT&T Center
Dec 2 2022,9:00p,Houston Rockets,122,Phoenix Suns,121,Box Score,,17071,Footprint Center
Dec 2 2022,9:00p,Indiana Pacers,119,Utah Jazz,139,Box Score,,18206,Vivint Arena
Dec 2 2022,10:00p,Chicago Bulls,111,Golden State Warriors,119,Box Score,,18064,Chase Center
Dec 3 2022,12:30p,Dallas Mavericks,121,New York Knicks,100,Box Score,,18319,Madison Square Garden (IV)
Dec 3 2022,4:00p,Sacramento Kings,123,Los Angeles Clippers,96,Box Score,,16587,Crypto.com Arena
Dec 3 2022,6:00p,Milwaukee Bucks,105,Charlotte Hornets,96,Box Score,,18128,Spectrum Center
Dec 3 2022,8:00p,Oklahoma City Thunder,135,Minnesota Timberwolves,128,Box Score,,17136,Target Center
Dec 3 2022,8:00p,Orlando Magic,108,Toronto Raptors,121,Box Score,,19800,Scotiabank Arena
Dec 3 2022,8:30p,Houston Rockets,101,Golden State Warriors,120,Box Score,,18064,Chase Center
Dec 3 2022,9:00p,Portland Trail Blazers,116,Utah Jazz,111,Box Score,,18206,Vivint Arena
Dec 4 2022,3:30p,Denver Nuggets,106,New Orleans Pelicans,121,Box Score,,15658,Smoothie King Center
Dec 4 2022,4:00p,Phoenix Suns,133,San Antonio Spurs,95,Box Score,,16409,AT&T Center
Dec 4 2022,6:00p,Boston Celtics,103,Brooklyn Nets,92,Box Score,,18043,Barclays Center
Dec 4 2022,6:00p,Memphis Grizzlies,122,Detroit Pistons,112,Box Score,,20088,Little Caesars Arena
Dec 4 2022,6:00p,Cleveland Cavaliers,81,New York Knicks,92,Box Score,,19007,Madison Square Garden (IV)
Dec 4 2022,6:00p,Chicago Bulls,101,Sacramento Kings,110,Box Score,,17611,Golden 1 Center
Dec 4 2022,6:00p,Los Angeles Lakers,130,Washington Wizards,119,Box Score,,19647,Capital One Arena
Dec 4 2022,9:00p,Indiana Pacers,100,Portland Trail Blazers,116,Box Score,,17479,Moda Center
Dec 5 2022,7:00p,Los Angeles Clippers,119,Charlotte Hornets,117,Box Score,,13945,Spectrum Center
Dec 5 2022,7:00p,Milwaukee Bucks,109,Orlando Magic,102,Box Score,,16174,Amway Center
Dec 5 2022,7:30p,Oklahoma City Thunder,121,Atlanta Hawks,114,Box Score,,16301,State Farm Arena
Dec 5 2022,7:30p,Boston Celtics,116,Toronto Raptors,110,Box Score,,19800,Scotiabank Arena
Dec 5 2022,8:00p,Philadelphia 76ers,123,Houston Rockets,132,Box Score,2OT,15331,Toyota Center
Dec 5 2022,8:00p,Miami Heat,93,Memphis Grizzlies,101,Box Score,,16122,FedEx Forum
Dec 5 2022,8:30p,Phoenix Suns,111,Dallas Mavericks,130,Box Score,,20227,American Airlines Center
Dec 5 2022,10:00p,Indiana Pacers,112,Golden State Warriors,104,Box Score,,18064,Chase Center
Dec 6 2022,7:30p,Los Angeles Lakers,102,Cleveland Cavaliers,116,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 6 2022,7:30p,Detroit Pistons,116,Miami Heat,96,Box Score,,19600,FTX Arena
Dec 6 2022,10:00p,Dallas Mavericks,116,Denver Nuggets,115,Box Score,,19520,Ball Arena
Dec 7 2022,7:00p,Los Angeles Clippers,111,Orlando Magic,116,Box Score,OT,14429,Amway Center
Dec 7 2022,7:30p,Charlotte Hornets,116,Brooklyn Nets,122,Box Score,,16903,Barclays Center
Dec 7 2022,7:30p,Atlanta Hawks,89,New York Knicks,113,Box Score,,18091,Madison Square Garden (IV)
Dec 7 2022,7:30p,Los Angeles Lakers,113,Toronto Raptors,126,Box Score,,19800,Scotiabank Arena
Dec 7 2022,8:00p,Washington Wizards,111,Chicago Bulls,115,Box Score,,19265,United Center
Dec 7 2022,8:00p,Oklahoma City Thunder,102,Memphis Grizzlies,123,Box Score,,15942,FedEx Forum
Dec 7 2022,8:00p,Sacramento Kings,113,Milwaukee Bucks,126,Box Score,,17341,Fiserv Forum
Dec 7 2022,8:00p,Indiana Pacers,115,Minnesota Timberwolves,121,Box Score,,15472,Target Center
Dec 7 2022,8:00p,Detroit Pistons,98,New Orleans Pelicans,104,Box Score,,14073,Smoothie King Center
Dec 7 2022,9:00p,Golden State Warriors,123,Utah Jazz,124,Box Score,,18206,Vivint Arena
Dec 7 2022,10:00p,Boston Celtics,125,Phoenix Suns,98,Box Score,,17071,Footprint Center
Dec 8 2022,7:30p,Los Angeles Clippers,110,Miami Heat,115,Box Score,,19600,FTX Arena
Dec 8 2022,8:30p,Houston Rockets,109,San Antonio Spurs,118,Box Score,,13140,AT&T Center
Dec 8 2022,10:00p,Denver Nuggets,121,Portland Trail Blazers,120,Box Score,,18189,Moda Center
Dec 9 2022,7:00p,New York Knicks,121,Charlotte Hornets,102,Box Score,,17696,Spectrum Center
Dec 9 2022,7:00p,Washington Wizards,111,Indiana Pacers,121,Box Score,,15039,Gainbridge Fieldhouse
Dec 9 2022,7:00p,Toronto Raptors,109,Orlando Magic,113,Box Score,,17008,Amway Center
Dec 9 2022,7:30p,Atlanta Hawks,116,Brooklyn Nets,120,Box Score,,18072,Barclays Center
Dec 9 2022,7:30p,Sacramento Kings,106,Cleveland Cavaliers,95,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 9 2022,7:30p,Los Angeles Lakers,122,Philadelphia 76ers,133,Box Score,OT,20852,Wells Fargo Center
Dec 9 2022,8:00p,Detroit Pistons,103,Memphis Grizzlies,114,Box Score,,17103,FedEx Forum
Dec 9 2022,8:30p,Phoenix Suns,117,New Orleans Pelicans,128,Box Score,,16381,Smoothie King Center
Dec 9 2022,9:00p,Minnesota Timberwolves,118,Utah Jazz,108,Box Score,,18206,Vivint Arena
Dec 9 2022,10:00p,Milwaukee Bucks,106,Dallas Mavericks,105,Box Score,,20277,American Airlines Center
Dec 10 2022,5:00p,San Antonio Spurs,115,Miami Heat,111,Box Score,,19600,FTX Arena
Dec 10 2022,7:00p,Brooklyn Nets,136,Indiana Pacers,133,Box Score,,14280,Gainbridge Fieldhouse
Dec 10 2022,7:00p,Los Angeles Clippers,114,Washington Wizards,107,Box Score,,18404,Capital One Arena
Dec 10 2022,7:30p,Oklahoma City Thunder,102,Cleveland Cavaliers,110,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 10 2022,8:00p,Dallas Mavericks,115,Chicago Bulls,144,Box Score,,19528,United Center
Dec 10 2022,8:30p,Boston Celtics,107,Golden State Warriors,123,Box Score,,18064,Chase Center
Dec 10 2022,9:00p,Utah Jazz,110,Denver Nuggets,115,Box Score,,19636,Ball Arena
Dec 10 2022,10:00p,Minnesota Timberwolves,118,Portland Trail Blazers,124,Box Score,,18324,Moda Center
Dec 11 2022,3:30p,Phoenix Suns,124,New Orleans Pelicans,129,Box Score,OT,18681,Smoothie King Center
Dec 11 2022,6:00p,Los Angeles Lakers,124,Detroit Pistons,117,Box Score,,20190,Little Caesars Arena
Dec 11 2022,6:00p,Sacramento Kings,99,New York Knicks,112,Box Score,,19812,Madison Square Garden (IV)
Dec 11 2022,6:00p,Toronto Raptors,99,Orlando Magic,111,Box Score,,16891,Amway Center
Dec 11 2022,6:00p,Charlotte Hornets,113,Philadelphia 76ers,131,Box Score,,19765,Wells Fargo Center
Dec 11 2022,6:30p,Chicago Bulls,122,Atlanta Hawks,123,Box Score,OT,17227,State Farm Arena
Dec 11 2022,7:00p,Milwaukee Bucks,92,Houston Rockets,97,Box Score,,16268,Toyota Center
Dec 12 2022,7:00p,Miami Heat,87,Indiana Pacers,82,Box Score,,15309,Gainbridge Fieldhouse
Dec 12 2022,7:00p,Brooklyn Nets,112,Washington Wizards,100,Box Score,,16090,Capital One Arena
Dec 12 2022,8:00p,Atlanta Hawks,103,Memphis Grizzlies,128,Box Score,,16544,FedEx Forum
Dec 12 2022,8:30p,Oklahoma City Thunder,114,Dallas Mavericks,121,Box Score,,19877,American Airlines Center
Dec 12 2022,8:30p,Cleveland Cavaliers,111,San Antonio Spurs,112,Box Score,,13434,AT&T Center
Dec 12 2022,10:00p,Minnesota Timberwolves,112,Portland Trail Blazers,133,Box Score,,18021,Moda Center
Dec 12 2022,10:30p,Boston Celtics,93,Los Angeles Clippers,113,Box Score,,19068,Crypto.com Arena
Dec 13 2022,7:00p,Sacramento Kings,103,Philadelphia 76ers,123,Box Score,,19768,Wells Fargo Center
Dec 13 2022,7:30p,Golden State Warriors,111,Milwaukee Bucks,128,Box Score,,17628,Fiserv Forum
Dec 13 2022,8:00p,Phoenix Suns,97,Houston Rockets,111,Box Score,,15128,Toyota Center
Dec 13 2022,9:00p,New Orleans Pelicans,100,Utah Jazz,121,Box Score,,18206,Vivint Arena
Dec 13 2022,10:00p,Boston Celtics,122,Los Angeles Lakers,118,Box Score,OT,18661,Crypto.com Arena
Dec 14 2022,7:00p,Detroit Pistons,141,Charlotte Hornets,134,Box Score,OT,14303,Spectrum Center
Dec 14 2022,7:00p,Golden State Warriors,119,Indiana Pacers,125,Box Score,,15069,Gainbridge Fieldhouse
Dec 14 2022,7:00p,Atlanta Hawks,124,Orlando Magic,135,Box Score,,16002,Amway Center
Dec 14 2022,7:30p,New York Knicks,128,Chicago Bulls,120,Box Score,OT,18820,United Center
Dec 14 2022,7:30p,Sacramento Kings,124,Toronto Raptors,123,Box Score,,19800,Scotiabank Arena
Dec 14 2022,8:00p,Miami Heat,110,Oklahoma City Thunder,108,Box Score,,14783,Paycom Center
Dec 14 2022,8:00p,Portland Trail Blazers,128,San Antonio Spurs,112,Box Score,,13657,AT&T Center
Dec 14 2022,9:00p,Cleveland Cavaliers,105,Dallas Mavericks,90,Box Score,,20093,American Airlines Center
Dec 14 2022,9:00p,Washington Wizards,128,Denver Nuggets,141,Box Score,,19550,Ball Arena
Dec 14 2022,10:00p,Minnesota Timberwolves,88,Los Angeles Clippers,99,Box Score,,14063,Crypto.com Arena
Dec 15 2022,8:00p,Miami Heat,111,Houston Rockets,108,Box Score,,16210,Toyota Center
Dec 15 2022,8:00p,Milwaukee Bucks,101,Memphis Grizzlies,142,Box Score,,17794,FedEx Forum
Dec 15 2022,9:00p,New Orleans Pelicans,129,Utah Jazz,132,Box Score,OT,18206,Vivint Arena
Dec 15 2022,10:30p,Phoenix Suns,111,Los Angeles Clippers,95,Box Score,,15778,Crypto.com Arena
Dec 16 2022,7:00p,Atlanta Hawks,125,Charlotte Hornets,106,Box Score,,17772,Spectrum Center
Dec 16 2022,7:00p,Sacramento Kings,122,Detroit Pistons,113,Box Score,,17892,Little Caesars Arena
Dec 16 2022,7:30p,Orlando Magic,117,Boston Celtics,109,Box Score,,19156,TD Garden
Dec 16 2022,7:30p,Indiana Pacers,112,Cleveland Cavaliers,118,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 16 2022,7:30p,Golden State Warriors,106,Philadelphia 76ers,118,Box Score,,20567,Wells Fargo Center
Dec 16 2022,7:30p,Brooklyn Nets,119,Toronto Raptors,116,Box Score,,19800,Scotiabank Arena
Dec 16 2022,8:00p,New York Knicks,114,Chicago Bulls,91,Box Score,,19661,United Center
Dec 16 2022,8:00p,Minnesota Timberwolves,112,Oklahoma City Thunder,110,Box Score,,14885,Paycom Center
Dec 16 2022,8:30p,Portland Trail Blazers,110,Dallas Mavericks,130,Box Score,,20191,American Airlines Center
Dec 16 2022,10:00p,Denver Nuggets,108,Los Angeles Lakers,126,Box Score,,18505,Crypto.com Arena
Dec 17 2022,4:00p,Washington Wizards,93,Los Angeles Clippers,102,Box Score,,15018,Crypto.com Arena
Dec 17 2022,5:00p,Miami Heat,111,San Antonio Spurs,101,Box Score,,20160,Mexico City Arena
Dec 17 2022,8:00p,Dallas Mavericks,99,Cleveland Cavaliers,100,Box Score,OT,19432,Rocket Mortgage Fieldhouse
Dec 17 2022,8:00p,Portland Trail Blazers,107,Houston Rockets,95,Box Score,,16217,Toyota Center
Dec 17 2022,8:00p,Utah Jazz,97,Milwaukee Bucks,123,Box Score,,17587,Fiserv Forum
Dec 17 2022,8:00p,Memphis Grizzlies,109,Oklahoma City Thunder,115,Box Score,,16895,Paycom Center
Dec 17 2022,9:00p,New Orleans Pelicans,114,Phoenix Suns,118,Box Score,,17071,Footprint Center
Dec 18 2022,3:00p,Orlando Magic,95,Boston Celtics,92,Box Score,,19156,TD Garden
Dec 18 2022,5:00p,New York Knicks,109,Indiana Pacers,106,Box Score,,14513,Gainbridge Fieldhouse
Dec 18 2022,6:00p,Brooklyn Nets,124,Detroit Pistons,121,Box Score,,19488,Little Caesars Arena
Dec 18 2022,6:00p,Golden State Warriors,126,Toronto Raptors,110,Box Score,,19800,Scotiabank Arena
Dec 18 2022,7:00p,Chicago Bulls,126,Minnesota Timberwolves,150,Box Score,,16294,Target Center
Dec 18 2022,8:00p,Charlotte Hornets,115,Denver Nuggets,119,Box Score,,19235,Ball Arena
Dec 18 2022,9:30p,Washington Wizards,117,Los Angeles Lakers,119,Box Score,,18153,Crypto.com Arena
Dec 19 2022,7:00p,Utah Jazz,99,Cleveland Cavaliers,122,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 19 2022,7:00p,Toronto Raptors,101,Philadelphia 76ers,104,Box Score,OT,20408,Wells Fargo Center
Dec 19 2022,7:30p,Orlando Magic,125,Atlanta Hawks,126,Box Score,,17809,State Farm Arena
Dec 19 2022,8:00p,San Antonio Spurs,124,Houston Rockets,105,Box Score,,15928,Toyota Center
Dec 19 2022,8:00p,Dallas Mavericks,106,Minnesota Timberwolves,116,Box Score,,16627,Target Center
Dec 19 2022,8:00p,Milwaukee Bucks,128,New Orleans Pelicans,119,Box Score,,18271,Smoothie King Center
Dec 19 2022,8:00p,Portland Trail Blazers,121,Oklahoma City Thunder,123,Box Score,,14672,Paycom Center
Dec 19 2022,9:00p,Los Angeles Lakers,104,Phoenix Suns,130,Box Score,,17071,Footprint Center
Dec 19 2022,10:00p,Charlotte Hornets,125,Sacramento Kings,119,Box Score,,17803,Golden 1 Center
Dec 20 2022,7:00p,Utah Jazz,126,Detroit Pistons,111,Box Score,,15622,Little Caesars Arena
Dec 20 2022,7:30p,Chicago Bulls,113,Miami Heat,103,Box Score,,19969,FTX Arena
Dec 20 2022,7:30p,Golden State Warriors,94,New York Knicks,132,Box Score,,19812,Madison Square Garden (IV)
Dec 20 2022,9:00p,Washington Wizards,113,Phoenix Suns,110,Box Score,,17071,Footprint Center
Dec 20 2022,10:00p,Memphis Grizzlies,91,Denver Nuggets,105,Box Score,,19605,Ball Arena
Dec 21 2022,7:00p,Milwaukee Bucks,106,Cleveland Cavaliers,114,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 21 2022,7:00p,Detroit Pistons,93,Philadelphia 76ers,113,Box Score,,20615,Wells Fargo Center
Dec 21 2022,7:30p,Chicago Bulls,110,Atlanta Hawks,108,Box Score,,17226,State Farm Arena
Dec 21 2022,7:30p,Indiana Pacers,117,Boston Celtics,112,Box Score,,19156,TD Garden
Dec 21 2022,7:30p,Golden State Warriors,113,Brooklyn Nets,143,Box Score,,18026,Barclays Center
Dec 21 2022,7:30p,Toronto Raptors,113,New York Knicks,106,Box Score,,19294,Madison Square Garden (IV)
Dec 21 2022,8:00p,Orlando Magic,116,Houston Rockets,110,Box Score,,15965,Toyota Center
Dec 21 2022,8:00p,Dallas Mavericks,104,Minnesota Timberwolves,99,Box Score,,16164,Target Center
Dec 21 2022,8:00p,Portland Trail Blazers,98,Oklahoma City Thunder,101,Box Score,,15107,Paycom Center
Dec 21 2022,10:00p,Los Angeles Lakers,120,Sacramento Kings,134,Box Score,,17611,Golden 1 Center
Dec 21 2022,10:30p,Charlotte Hornets,105,Los Angeles Clippers,126,Box Score,,19068,Crypto.com Arena
Dec 22 2022,8:00p,San Antonio Spurs,117,New Orleans Pelicans,126,Box Score,,16417,Smoothie King Center
Dec 22 2022,9:00p,Washington Wizards,112,Utah Jazz,120,Box Score,,18206,Vivint Arena
Dec 23 2022,7:00p,San Antonio Spurs,113,Orlando Magic,133,Box Score,,18425,Amway Center
Dec 23 2022,7:00p,Los Angeles Clippers,114,Philadelphia 76ers,119,Box Score,,19996,Wells Fargo Center
Dec 23 2022,7:30p,Detroit Pistons,105,Atlanta Hawks,130,Box Score,,17028,State Farm Arena
Dec 23 2022,7:30p,Minnesota Timberwolves,109,Boston Celtics,121,Box Score,,19156,TD Garden
Dec 23 2022,7:30p,Milwaukee Bucks,100,Brooklyn Nets,118,Box Score,,18169,Barclays Center
Dec 23 2022,7:30p,Toronto Raptors,118,Cleveland Cavaliers,107,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 23 2022,7:30p,Chicago Bulls,118,New York Knicks,117,Box Score,,19812,Madison Square Garden (IV)
Dec 23 2022,8:00p,Dallas Mavericks,112,Houston Rockets,106,Box Score,,16989,Toyota Center
Dec 23 2022,8:00p,Indiana Pacers,111,Miami Heat,108,Box Score,,19600,FTX Arena
Dec 23 2022,8:00p,New Orleans Pelicans,128,Oklahoma City Thunder,125,Box Score,OT,15214,Paycom Center
Dec 23 2022,9:00p,Portland Trail Blazers,107,Denver Nuggets,120,Box Score,,19619,Ball Arena
Dec 23 2022,10:00p,Memphis Grizzlies,125,Phoenix Suns,100,Box Score,,17071,Footprint Center
Dec 23 2022,10:00p,Washington Wizards,125,Sacramento Kings,111,Box Score,,17894,Golden 1 Center
Dec 23 2022,10:30p,Charlotte Hornets,134,Los Angeles Lakers,130,Box Score,,18997,Crypto.com Arena
Dec 25 2022,12:00p,Philadelphia 76ers,119,New York Knicks,112,Box Score,,19812,Madison Square Garden (IV)
Dec 25 2022,2:30p,Los Angeles Lakers,115,Dallas Mavericks,124,Box Score,,20441,American Airlines Center
Dec 25 2022,5:00p,Milwaukee Bucks,118,Boston Celtics,139,Box Score,,19156,TD Garden
Dec 25 2022,8:00p,Memphis Grizzlies,109,Golden State Warriors,123,Box Score,,18064,Chase Center
Dec 25 2022,10:30p,Phoenix Suns,125,Denver Nuggets,128,Box Score,OT,19642,Ball Arena
Dec 26 2022,7:00p,Brooklyn Nets,125,Cleveland Cavaliers,117,Box Score,,19432,Rocket Mortgage Fieldhouse
Dec 26 2022,7:00p,Los Angeles Clippers,142,Detroit Pistons,131,Box Score,OT,20190,Little Caesars Arena
Dec 26 2022,7:30p,Minnesota Timberwolves,110,Miami Heat,113,Box Score,,19911,FTX Arena
Dec 26 2022,8:00p,Houston Rockets,133,Chicago Bulls,118,Box Score,,21561,United Center
Dec 26 2022,8:00p,Indiana Pacers,93,New Orleans Pelicans,113,Box Score,,18636,Smoothie King Center
Dec 26 2022,8:00p,Utah Jazz,122,San Antonio Spurs,126,Box Score,,16351,AT&T Center
Dec 26 2022,10:00p,Charlotte Hornets,113,Portland Trail Blazers,124,Box Score,,19530,Moda Center
Dec 27 2022,7:00p,Los Angeles Lakers,129,Orlando Magic,110,Box Score,,19482,Amway Center
Dec 27 2022,7:00p,Philadelphia 76ers,111,Washington Wizards,116,Box Score,,20476,Capital One Arena
Dec 27 2022,7:30p,Houston Rockets,102,Boston Celtics,126,Box Score,,19156,TD Garden
